"ACCURACY","F1_SCORE","PRECISION","RECALL","ML_FRAMEWORK","TRANSFER_LEARNING","DEEP_LEARNING","MODEL_TYPE","DEPTH","NUM_PARAMS","FLATTEN_LAYERS","BATCHNORMALIZATION_LAYERS","DROPOUT_LAYERS","DENSE_LAYERS","SIGMOID_ACT","RELU_ACT","TANH_ACT","SOFTMAX_ACT","LOSS","OPTIMIZER","MEMORY_SIZE","TEAM","USERNAME","TIMESTAMP","VERSION"
"0.5294117647","0.4961209843","0.6777777778","0.5378571429","sklearn","false","false","GradientBoostingClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-02-03 21:06:32.633284","246"
"0.5","0.4957070707","0.575982906","0.5242857143","sklearn","false","false","SVC","null","null","null","null","null","null","null","null","null","null","null","null","null","7","lprockop","2023-02-06 19:07:27.821977","499"
"0.4705882353","0.4693815988","0.6328205128","0.4842857143","sklearn","false","false","GradientBoostingClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-02-02 22:21:28.005441","143"
"0.4705882353","0.4693815988","0.6328205128","0.4842857143","sklearn","false","false","GradientBoostingClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-01-31 22:43:05.553645","19"
"0.4705882353","0.4406349206","0.6439393939","0.4957142857","sklearn","false","false","RandomForestClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-01-31 22:42:08.360418","13"
"0.4705882353","0.4467623604","0.5628205128","0.4842857143","sklearn","false","false","RandomForestClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7","lprockop","2023-02-06 19:03:43.939191","498"
"0.4411764706","0.437124183","0.6283333333","0.4442857143","sklearn","false","false","GradientBoostingClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-02-03 19:31:15.663887","230"
"0.4411764706","0.4445670996","0.5055555556","0.4407142857","sklearn","false","false","BaggingClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7","lprockop","2023-02-06 19:11:32.853546","501"
"0.4411764706","0.4215060825","0.5161904762","0.4557142857","sklearn","false","false","RandomForestClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","null","lprockop","2023-01-31 22:41:02.920352","9"
"0.4411764706","0.3610047847","0.5088235294","0.4785714286","sklearn","false","false","RandomForestClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-01-31 22:40:09.620017","6"
"0.3823529412","0.3677272727","0.5405982906","0.3985714286","sklearn","false","false","GradientBoostingClassifier","null","null","null","null","null","null","null","null","null","null","null","null","null","7.0","lprockop","2023-01-31 22:44:34.947907","28"